CONTEXT:,locale/en_US.po,locale/cs_CZ.po,locale/de_DE.po,locale/en_AU.po,locale/en_PT.po,locale/fr_FR.po,locale/gd_GB.po,locale/ja_JP.po,locale/nl_NL.po,locale/pl_PL.po,locale/pt_BR.po,locale/ru_RU.po,locale/sl_SI.po,locale/sv_SE.po,locale/tok_TOK.po,locale/tr_TR.po,locale/uk_UA.po,locale/lol_us.po
Total -->,76,76/76,0/76,76/76,76/76,0/76,0/76,76/76,76/76,14/76,0/76,0/76,76/76,76/76,76/76,0/76,73/76,76/76
[file]            path to configuration file,path to configuration file,cesta ke konfiguračnímu souboru,,ǝlᴉɟ uoᴉʇɐɹnƃᴉɟuoɔ oʇ ɥʇɐd,path to configuration parchment,,,コンフィグのパス,pad naar configuratiebestand,ścieżka pliku konfiguracyjnego,,,pot do konfiguracijske datoteke,sökväg till konfigurationsfil,ma pi lipu nasin,,шлях до файлу конфігурації,OH NOES! Teh path to teh configuration file iz missin. Halp me find it? Kthxbai.
-T --num-threads  number of threads to use (implies -t),number of threads to use (implies -t),počet vláken (automaticky zapíná -t),,(ʇ- sǝᴉldɯᴉ) ǝsn oʇ spɐǝɹɥʇ ɟo ɹǝqɯnu,count of threads to use (implies -t),,,スレッド数,aantal threads om te gebruiken (impliceert -t),ilość wątków procesora,,,željeno število niti (implicira -t),antal trådar att använda,nanpa pi jan pali,,скільки потоків використовувати (передбачає -t),"Cheezburgers needed: 42. Implies -t. Moar threads, moar fun!"
-j --json         write diagnostics in json format,write diagnostics in json format,zapisovat diagnostiku ve formátu json,,ʇɐɯɹoɟ uosɾ uᴉ sɔᴉʇsouƃɐᴉp ǝʇᴉɹʍ,scribble diagnostics in json format,,,診断メッセージをJSON形式で書きます,schrijf diagnostiek in json formaat,zapisuj diagnostyki w formacie json,,,izpiši diagnostiko v json formatu,skriv diagnostik i json-format,"o sitelen lon nasin ""json""",,виводити діагностику в форматі json,I can has diagnostics in JSON format? Kthx. XD
-c --check        exit after reading configuration file,exit after reading configuration file,skončit po přečtení konfiguračního souboru,,ǝlᴉɟ uoᴉʇɐɹnƃᴉɟuoɔ ƃuᴉpɐǝɹ ɹǝʇɟɐ ʇᴉxǝ,abandon ship after reading configuration parchment,,,コンフィグを読み込んでからすぐ終了します,sluit af na het inlezen van het configuratiebestand,zamknij po zapisie pliku konfiguracyjnego,,,končaj po branju konfiguracijske datoteke,avsluta efter att ha läst konfigurationsfilen,"o lukin e lipu nasin, o tawa",,вийти після прочитання файлу конфігурації,Bye-bye! Exiting after reading teh configuration file.
-h --help         display this help message,display this help message,zobrazit tuto pomocnou zprávu,,ǝƃɐssǝɯ dlǝɥ sᴉɥʇ ʎɐldsᴉp,show this here help message,,,このメッセージを表示します,vertoon dit hulpbericht,wyświetl komunikat pomocniczy,,,prikaži to sporočilo,visa detta hjälpmeddelandet,o pana e toki ni,,вивести це повідомлення,Halp! Teach me how to halp with this message. Kthx!
-t --threads      use the thread pool executor,use the thread pool executor,použít více vláken,,ɹoʇnɔǝxǝ lood pɐǝɹɥʇ ǝɥʇ ǝsn,use the thread pool executor,,,スレッドプールを使います,gebruik de uitvoerder van threadpools,,,,uporabi izvajalca sklada niti,använd trådpoolsexekveraren,o kepeken e jan pali mute,,використовувати багатопотокового виконавця,Diving into teh thread pool executor. Splish splash!
-v --verbose      show verbose output,show verbose output,zobrazit zdlouhavý výstup,,ʇndʇno ǝsoqɹǝʌ ʍoɥs,"show verbose output, ya scallywag",,,詳しいログを表示します,uitgebreide uitvoer weergeven,,,,prikaži razširjen izpis,visa utförlig utdata,o pana e sona mute,,показувати розширену інформацію,Oh hai verbosity! Plz show me all teh outputz.
,error,chyba,,ɹoɹɹǝ,"error, arrr",,,エラー,fout,błąd,,,napaka,error,pakala,,помилка,"OH NOES! Errorz attack! Abort, retry, fail?"
,warning,varování,,ƃuᴉuɹɐʍ,"warning, ye be warned",,,警告,waarschuwing,ostrzeżenie,,,opozorilo,varning,toki ike,,застереження,"Ohai! Warningz in da house. Pay attention, hooman."
